Unibet_ID,Unibet_URL,Unibet_Name,Fotmob_URL,Fotmob_Name,Match_Type,Country/Region
2000050126,https://www.unibet.com.au/betting/sports/filter/football/england/national_league_north,National League North,https://www.fotmob.com/leagues/117,National League,Different Name,England
1000385084,https://www.unibet.com.au/betting/sports/filter/football/england/national_league_south,National League South,https://www.fotmob.com/leagues/117,National League,Different Name,England
2000052405,https://www.unibet.com.au/betting/sports/filter/football/georgia/erovnuli_liga,Erovnuli Liga,https://www.fotmob.com/leagues/439,Erovnuli Liga,Exact Match,Georgia
1000355562,https://www.unibet.com.au/betting/sports/filter/football/germany/3__liga,3. Liga,https://www.fotmob.com/leagues/208,3. Liga,Exact Match,Germany
1000094996,https://www.unibet.com.au/betting/sports/filter/football/greece/super_league,Super League,https://www.fotmob.com/leagues/135,Super League 1,Different Name,Greece
2000052302,https://www.unibet.com.au/betting/sports/filter/football/iran/azadegan_league,Azadegan League,https://www.fotmob.com/leagues/9372,Azadegan League,Exact Match,Iran
1000095601,https://www.unibet.com.au/betting/sports/filter/football/ireland/premier_division,Premier Division,https://www.fotmob.com/leagues/126,Premier Division,Exact Match,Ireland
2000079607,https://www.unibet.com.au/betting/sports/filter/football/italy/serie_c_girone_a,Serie C Girone A,https://www.fotmob.com/leagues/147,Serie C,Different Name,Italy
2000079609,https://www.unibet.com.au/betting/sports/filter/football/italy/serie_c_girone_c,Serie C Girone C,https://www.fotmob.com/leagues/147,Serie C,Different Name,Italy
1000158930,https://www.unibet.com.au/betting/sports/filter/football/latvia/virsliga,Virsliga,https://www.fotmob.com/leagues/226,Virsliga,Exact Match,Latvia
2000109034,https://www.unibet.com.au/betting/sports/filter/football/mexico/liga_mx_femenil__w_,Liga MX Femenil (W),https://www.fotmob.com/leagues/9906,Liga MX Femenil,Different Name,Mexico
2000050271,https://www.unibet.com.au/betting/sports/filter/football/morocco/botola,Botola,https://www.fotmob.com/leagues/530,Botola Pro,Different Name,Morocco
2000095410,https://www.unibet.com.au/betting/sports/filter/football/netherlands/tweede_divisie,Tweede Divisie,https://www.fotmob.com/leagues/9195,Tweede Divisie,Exact Match,Netherlands
2000116433,https://www.unibet.com.au/betting/sports/filter/football/paraguay/copa_paraguay,Copa Paraguay,https://www.fotmob.com/leagues/10230,Copa Paraguay,Exact Match,Paraguay
2000057675,https://www.unibet.com.au/betting/sports/filter/football/poland/ekstraklasa__w_,Ekstraklasa (W),https://www.fotmob.com/leagues/196,Ekstraklasa,Different Name,Poland
2000077607,https://www.unibet.com.au/betting/sports/filter/football/poland/ii_liga,II Liga,https://www.fotmob.com/leagues/8935,2. Division,Different Name,Poland
1000095016,https://www.unibet.com.au/betting/sports/filter/football/poland/puchar_polski,Puchar Polski,https://www.fotmob.com/leagues/198,Puchar Polski,Exact Match,Poland
1000280417,https://www.unibet.com.au/betting/sports/filter/football/scotland/league_one,League One,https://www.fotmob.com/leagues/124,League One,Exact Match,Scotland
1000280418,https://www.unibet.com.au/betting/sports/filter/football/scotland/league_two,League Two,https://www.fotmob.com/leagues/125,League Two,Exact Match,Scotland
1000094254,https://www.unibet.com.au/betting/sports/filter/football/scotland/scottish_cup,Scottish Cup,https://www.fotmob.com/leagues/137,Scottish Cup,Exact Match,Scotland
1000315962,https://www.unibet.com.au/betting/sports/filter/football/singapore/singapore_premier_league,Singapore Premier League,https://www.fotmob.com/leagues/461,Singapore Premier League,Exact Match,Singapore
